curriculum,qualification_responsible_position,name_responsible,degree_reponsible,program_responsible,institute_responsible,year_graduate_responsible
5-BRD66-วทบ-สถาปัตยกรรม เพื่อการพัฒนาอสังหาริมทรัพย์66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์,มณิพร สัมพันธารักษ์,วท.บ.,สถาปัตยกรรม,มหาวิทยาลัยธรรมศาสตร์,2549
5-BRD66-วทบ-สถาปัตยกรรม เพื่อการพัฒนาอสังหาริมทรัพย์66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์,วิรุจน์ สมโสภณ,สถ.ม.,สถาปัตยกรรม,จุฬาลงกรณ์มหาวิทยาลัย,2550
5-BRD66-วทบ-สถาปัตยกรรม เพื่อการพัฒนาอสังหาริมทรัพย์66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์,วิรุจน์ สมโสภณ,สถ.บ.,สถาปัตยกรรม,มหาวิทยาลัยขอนแก่น,2546
5-BRD66-วทบ-สถาปัตยกรรม เพื่อการพัฒนาอสังหาริมทรัพย์66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์,เอนก สุวรรณชัยสกุล,สถ.ม.,สถาปัตยกรรม,มหาวิทยาลัยธรรมศาสตร์,2549
5-BRD66-วทบ-สถาปัตยกรรม เพื่อการพัฒนาอสังหาริมทรัพย์66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์,เอนก สุวรรณชัยสกุล,วท.บ.,สถาปัตยกรรม,มหาวิทยาลัยธรรมศาสตร์,2547
5-BRD66-วทบ-สถาปัตยกรรม เพื่อการพัฒนาอสังหาริมทรัพย์66-กมอ.10-1-67,อาจารย์ ดร.,อาลิตา ฉลาดดี,Ph.D.,Urban Environmental management,Asian Institute of Technology,2565
5-BRD66-วทบ-สถาปัตยกรรม เพื่อการพัฒนาอสังหาริมทรัพย์66-กมอ.10-1-67,อาจารย์ ดร.,อาลิตา ฉลาดดี,สถ.ม.,สถาปัตยกรรม,มหาวิทยาลัยเชียงใหม่,2557
5-BRD66-วทบ-สถาปัตยกรรม เพื่อการพัฒนาอสังหาริมทรัพย์66-กมอ.10-1-67,อาจารย์ ดร.,อาลิตา ฉลาดดี,สถ.บ.,สถาปัตยกรรม,มหาวิทยาลัยเชียงใหม่,2555
5-BRD66-วทบ-สถาปัตยกรรม เพื่อการพัฒนาอสังหาริมทรัพย์66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์ ดร.,ชมพูนุท คงพุนพิน,ปร.ด.,สหวิทยาการสภาพแวดล้อมสรรค์สร้าง,มหาวิทยาลัยธรรมศาสตร์,2562
5-BRD66-วทบ-สถาปัตยกรรม เพื่อการพัฒนาอสังหาริมทรัพย์66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์ ดร.,ชมพูนุท คงพุนพิน,สถ.ม.,สถาปัตยกรรม,มหาวิทยาลัยเชียงใหม่,2557
